game_id,date,home_team,away_team,home_name,away_name,model_home_win_prob,model_away_win_prob,avg_total_runs,std_total_runs,actual_home_win,actual_home_score,actual_away_score,sim_home_prob,elo_home_prob,home_real_profiles,away_real_profiles,home_starter_id,away_starter_id,year,total_line,model_over_prob,model_under_prob,market_over_nv_prob,market_under_nv_prob,best_over_odds,best_under_odds,best_over_book,best_under_book,over_edge,under_edge,totals_bet_side,totals_bet_odds,totals_bet_edge,totals_bet_fraction,totals_bet_stake,totals_bet_profit,totals_bet_won,confidence,market_home_nv_prob,market_away_nv_prob,best_home_odds,best_away_odds,best_home_book,best_away_book,pinnacle_home,pinnacle_away,vig,home_edge,away_edge,home_ev,away_ev,bet_side,bet_odds,bet_edge,bet_fraction,bet_stake,bet_profit,bet_won
634588,2021-04-05,DET,MIN,Detroit Tigers,Minnesota Twins,0.545,0.45499999999999996,12.077,5.461050356845284,False,6,15,0.545,,9,9,570632,533167,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634612,2021-04-05,TEX,TOR,Texas Rangers,Toronto Blue Jays,0.336,0.6639999999999999,10.03,4.682638145319367,False,2,6,0.336,,9,9,592314,571927,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634616,2021-04-05,Cleveland Indians,KCR,Cleveland Indians,Kansas City Royals,0.402,0.598,10.115,4.760438530219669,False,0,3,0.402,,9,8,663531,518633,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634587,2021-04-05,NYY,BAL,New York Yankees,Baltimore Orioles,0.654,0.346,10.556,4.927764604767561,True,7,0,0.654,,9,9,656756,605347,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634558,2021-04-05,CIN,PIT,Cincinnati Reds,Pittsburgh Pirates,0.622,0.378,14.115,5.757063053328493,True,5,3,0.622,,8,8,592254,664141,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663178,2022-04-07,CHC,MIL,Chicago Cubs,Milwaukee Brewers,0.34600000000000003,0.6539999999999999,9.106,4.857238309986447,True,5,4,0.34600000000000003,,9,9,543294,669203,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662766,2022-04-07,KCR,CLE,Kansas City Royals,Cleveland Guardians,0.38,0.62,7.97,4.231205501981675,True,3,1,0.38,,9,9,425844,669456,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662021,2022-04-07,STL,PIT,St. Louis Cardinals,Pittsburgh Pirates,0.678,0.32199999999999995,9.388,4.857103663707416,True,9,0,0.678,,9,9,425794,664141,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
662571,2022-04-07,WSN,NYM,Washington Nationals,New York Mets,0.30000000000000004,0.7,10.295,4.468554016681459,False,1,5,0.30000000000000004,,9,9,571578,656731,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661577,2022-04-07,ATL,CIN,Atlanta Braves,Cincinnati Reds,0.623,0.377,7.737,4.094121517493099,False,3,6,0.623,,9,9,608331,641816,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661042,2022-04-07,LAA,HOU,Los Angeles Angels,Houston Astros,0.41100000000000003,0.589,7.207,4.009008730347191,False,1,3,0.41100000000000003,,9,9,660271,664285,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
